2026-07-01 05:39:26 | INFO     | [main:<module>:12] - Arbitrator starting | exchanges=['mexc', 'bitget', 'gate', 'bingx'] ui_data_mode=live
2026-07-01 05:39:27 | INFO     | [arbitrator.presentation.fastapi_app:create:103] - FastAPI app created | title=Arbitrator host=127.0.0.1 port=8000 ui_data_mode=live
2026-07-01 05:39:27 | INFO     | [uvicorn.server:serve:79] - [uvicorn.error] Started server process [15312]
2026-07-01 05:39:27 | INFO     | [uvicorn.server:startup:105] - [uvicorn.error] Waiting for application startup.
2026-07-01 05:39:27 | INFO     | [arbitrator.application.app_runtime:_start_live_workers:111] - screener worker started | mode=live
2026-07-01 05:39:27 | INFO     | [arbitrator.application.app_runtime:_start_live_workers:141] - funding worker started | mode=live
2026-07-01 05:39:27 | INFO     | [arbitrator.application.app_runtime:_start_live_workers:145] - account worker started | mode=live
2026-07-01 05:39:27 | INFO     | [arbitrator.presentation.fastapi_app:lifespan:39] - app lifespan started | ui_data_mode=live
2026-07-01 05:39:27 | INFO     | [uvicorn.server:startup:105] - [uvicorn.error] Application startup complete.
2026-07-01 05:39:27 | INFO     | [arbitrator.application.symbol_universe_service:_filter:111] - Universe filtered | total=1213 after_min_exchanges=669 after_exclusions=668
2026-07-01 05:39:27 | INFO     | [arbitrator.application.screener_stream_worker:_discovery_phase:164] - Volume discovery started | symbols=668 threshold_usdt=50000.0 timeout_s=30.0
2026-07-01 05:39:27 | INFO     | [arbitrator.application.account_stream_worker:_async_main:124] - Account stream spawned | exchanges=['mexc', 'bitget', 'gate', 'bingx']
2026-07-01 05:39:27 | INFO     | [arbitrator.application.multi_exchange_watcher:_spawn_watchers:61] - Spawning watchers | exchanges=['mexc', 'bitget', 'gate', 'bingx'] symbols={'mexc': 545, 'bitget': 573, 'gate': 636, 'bingx': 466}
2026-07-01 05:39:27 | DEBUG    | [arbitrator.application.multi_exchange_watcher:_watch:81] - Watcher start | exchange=mexc symbols=545
2026-07-01 05:39:27 | INFO     | [starlette._exception_handler:sender:39] - [uvicorn.error] 127.0.0.1:56160 - "WebSocket /ws/orders" [accepted]
2026-07-01 05:39:27 | INFO     | [arbitrator.presentation.ws.orders_ws_handler:handle:26] - ws connected | endpoint=/ws/orders
2026-07-01 05:39:27 | INFO     | [websockets.legacy.server:handler:161] - [uvicorn.error] connection open
2026-07-01 05:39:27 | INFO     | [starlette._exception_handler:sender:39] - [uvicorn.error] 127.0.0.1:56181 - "WebSocket /ws/settings" [accepted]
2026-07-01 05:39:27 | INFO     | [arbitrator.presentation.ws.settings_ws_handler:handle:25] - ws connected | endpoint=/ws/settings
2026-07-01 05:39:27 | INFO     | [websockets.legacy.server:handler:161] - [uvicorn.error] connection open
2026-07-01 05:39:27 | INFO     | [starlette._exception_handler:sender:39] - [uvicorn.error] 127.0.0.1:56182 - "WebSocket /ws/opportunity?symbol=BNB%2FUSDT&short=mexc&long=bitget" [accepted]
2026-07-01 05:39:27 | INFO     | [arbitrator.presentation.ws.opportunity_ws_handler:handle:42] - ws connected | endpoint=/ws/opportunity symbol=BNB/USDT short=mexc long=bitget
2026-07-01 05:39:27 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:1336] - Exchange client opened | exchange=mexc
2026-07-01 05:39:27 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:1336] - Exchange client opened | exchange=mexc
2026-07-01 05:39:27 | DEBUG    | [arbitrator.application.multi_exchange_watcher:_watch:81] - Watcher start | exchange=bitget symbols=573
2026-07-01 05:39:27 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:1336] - Exchange client opened | exchange=mexc
2026-07-01 05:39:27 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:1336] - Exchange client opened | exchange=mexc
2026-07-01 05:39:27 | INFO     | [websockets.legacy.server:handler:161] - [uvicorn.error] connection open
2026-07-01 05:39:28 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:1336] - Exchange client opened | exchange=bitget
2026-07-01 05:39:28 | INFO     | [arbitrator.exchanges.ccxt_base:_ensure_open:1336] - Exchange client opened | exchange=bitget
